,state,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm
0,AK,0.0,0.0,0.0,0.0,0.0,2292.8,0.0
1,AL,6780.6,134.7,148.7,13894.8,26457.6,716.4,2377.1
2,AR,6651.0,4597.8,291.0,10216.5,706.4,0.0,1135.5
3,AZ,1486.5,1879.5,0.0,5358.0,0.0,1327.8,0.0
4,CA,16199.3,18798.3,15131.0,3445.4,0.0,98106.3,0.0
5,CO,6992.3,2035.8,102.4,30024.3,0.0,7092.8,277.1
6,CT,13.0,595.8,41.0,843.9,5883.5,0.0,3079.0
7,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,DE,867.4,33.8,12.3,268.9,1013.8,0.0,913.8
9,FL,1499.3,2870.5,13596.6,5437.2,363258.2,300.1,3937.1
10,GA,8154.5,1389.0,1282.8,12181.5,19377.4,288.5,2779.8
11,GU,0.0,0.0,0.0,0.0,4292.5,0.0,0.0
12,HI,0.0,0.0,0.0,0.0,6758.0,5555.0,0.0
13,IA,16087.4,23957.3,75.7,21517.8,0.0,0.0,231.2
14,ID,3457.0,574.6,12.3,0.0,0.0,3482.1,0.0
15,IL,17117.5,9859.9,421.0,24551.3,1014.8,0.0,2344.1
16,IN,8600.4,5400.0,228.6,13984.8,1034.5,0.0,781.9
17,KS,25413.0,3574.0,171.4,12266.8,0.0,0.0,156.3
18,KY,7720.8,941.6,249.2,15450.4,1289.7,0.0,1552.5
19,LA,6875.8,21041.6,204.8,11852.5,263676.7,0.0,2264.4
20,MA,19.5,1283.8,49.1,778.4,3610.3,0.0,5118.5
21,MD,3318.0,337.3,32.8,3523.3,6306.5,0.0,3047.9
22,ME,13.0,585.6,0.0,230.2,140.3,0.0,1592.4
23,MI,3227.8,3235.5,49.1,6174.5,0.0,0.0,587.0
24,MN,10025.3,5997.6,53.2,23472.1,0.0,98.6,221.5
25,MO,12251.1,15905.0,639.6,24858.7,495.3,0.0,816.3
26,MS,8687.5,3671.2,126.4,6599.1,60472.9,42.4,4612.0
27,MT,13232.5,349.8,12.3,1194.7,0.0,3399.8,0.0
28,NC,10229.2,103.9,305.0,8017.6,67129.0,88.5,2380.2
29,ND,23516.9,9529.6,12.3,406.7,0.0,12.9,37.9
30,NE,16925.0,5134.4,84.8,13818.4,0.0,56.9,41.6
31,NH,13.0,70.5,0.0,160.0,452.7,0.0,1596.4
32,NJ,491.1,1320.4,49.1,3859.5,52104.2,0.0,5528.4
33,NM,3317.2,0.0,0.0,1037.1,298.2,2674.4,0.0
34,NV,435.6,1067.0,0.0,61.5,0.0,1221.7,44.5
35,NY,617.5,2294.0,69.6,3946.2,67055.0,0.0,7722.1
36,OH,6264.2,1357.2,407.6,17278.6,3283.4,0.0,1757.7
37,OK,12815.6,2536.4,613.9,25463.3,0.0,341.1,1042.5
38,OR,4361.3,1622.7,135.1,104.8,0.0,5798.8,511.6
39,PA,2464.4,1319.8,102.4,8720.8,11556.7,0.0,3858.9
40,PR,0.0,0.0,0.0,0.0,123374.1,0.0,0.0
41,RI,13.0,234.0,8.2,211.2,1326.7,0.0,1105.5
42,SC,4239.2,2552.2,636.9,4736.0,24015.7,0.0,1529.4
43,SD,14407.1,5428.5,24.6,2090.3,0.0,106.3,0.0
44,TN,7224.7,3884.6,191.1,22019.7,1290.0,1792.0,2521.8
45,TX,41863.9,14959.0,551.3,82717.0,235679.1,3098.8,25374.3
47,UT,518.0,1575.0,12.3,28.1,0.0,1379.4,0.0
48,VA,4635.1,2245.8,89.3,3768.1,10535.8,0.0,3046.5
49,VI,0.0,0.0,0.0,0.0,20593.9,0.0,0.0
50,VT,13.0,934.3,0.0,174.0,1148.4,0.0,1174.6
51,WA,4594.3,1077.0,110.6,67.2,0.0,2974.1,304.1
52,WI,5736.9,6169.9,49.1,8787.5,0.0,0.0,219.7
53,WV,2274.4,2786.8,68.4,1012.3,816.6,0.0,864.7
54,WY,2760.6,0.0,8.2,1420.9,0.0,1083.6,0.0
