,year,state,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm
0,1980,AK,0,0,0,0,0,0,0
1,1980,AL,1,0,0,0,0,0,0
2,1980,AR,1,1,0,0,0,0,0
3,1980,AZ,0,0,0,0,0,0,0
4,1980,CA,0,0,0,0,0,0,0
5,1980,CO,0,0,0,0,0,0,0
6,1980,CT,0,0,0,0,0,0,0
7,1980,DC,0,0,0,0,0,0,0
8,1980,DE,0,0,0,0,0,0,0
9,1980,FL,0,0,0,0,0,0,0
10,1980,GA,1,0,0,0,0,0,0
11,1980,GU,0,0,0,0,0,0,0
12,1980,HI,0,0,0,0,0,0,0
13,1980,IA,1,0,0,0,0,0,0
14,1980,ID,0,0,0,0,0,0,0
15,1980,IL,1,0,0,0,0,0,0
16,1980,IN,0,0,0,0,0,0,0
17,1980,KS,1,0,0,0,0,0,0
18,1980,KY,1,0,0,0,0,0,0
19,1980,LA,1,1,0,0,1,0,0
20,1980,MA,0,0,0,0,0,0,0
21,1980,MD,0,0,0,0,0,0,0
22,1980,ME,0,0,0,0,0,0,0
23,1980,MI,0,0,0,0,0,0,0
24,1980,MN,1,0,0,0,0,0,0
25,1980,MO,1,0,0,0,0,0,0
26,1980,MS,1,1,0,0,0,0,0
27,1980,MT,1,0,0,0,0,0,0
28,1980,NC,1,0,0,0,0,0,0
29,1980,ND,1,0,0,0,0,0,0
30,1980,NE,1,0,0,0,0,0,0
31,1980,NH,0,0,0,0,0,0,0
32,1980,NJ,0,0,0,0,0,0,0
33,1980,NM,0,0,0,0,0,0,0
34,1980,NV,0,0,0,0,0,0,0
35,1980,NY,0,0,0,0,0,0,0
36,1980,OH,0,0,0,0,0,0,0
37,1980,OK,1,0,0,0,0,0,0
38,1980,OR,0,0,0,0,0,0,0
39,1980,PA,0,0,0,0,0,0,0
40,1980,PR,0,0,0,0,0,0,0
41,1980,RI,0,0,0,0,0,0,0
42,1980,SC,1,0,0,0,0,0,0
43,1980,SD,1,0,0,0,0,0,0
44,1980,TN,1,0,0,0,0,0,0
45,1980,TX,1,0,0,0,1,0,0
46,1980,UT,0,0,0,0,0,0,0
47,1980,VA,1,0,0,0,0,0,0
48,1980,VI,0,0,0,0,0,0,0
49,1980,VT,0,0,0,0,0,0,0
50,1980,WA,0,0,0,0,0,0,0
51,1980,WI,0,0,0,0,0,0,0
52,1980,WV,0,0,0,0,0,0,0
53,1980,WY,0,0,0,0,0,0,0
54,1981,AK,0,0,0,0,0,0,0
55,1981,AL,0,0,0,1,0,0,0
56,1981,AR,0,0,0,0,0,0,0
57,1981,AZ,0,0,0,0,0,0,0
58,1981,CA,0,0,0,0,0,0,0
59,1981,CO,0,0,0,0,0,0,0
60,1981,CT,0,0,0,0,0,0,0
61,1981,DC,0,0,0,0,0,0,0
62,1981,DE,0,0,0,0,0,0,0
63,1981,FL,0,0,1,0,0,0,0
64,1981,GA,0,0,0,0,0,0,0
65,1981,GU,0,0,0,0,0,0,0
66,1981,HI,0,0,0,0,0,0,0
67,1981,IA,0,0,0,0,0,0,0
68,1981,ID,0,0,0,0,0,0,0
69,1981,IL,0,0,0,0,0,0,0
70,1981,IN,0,0,0,0,0,0,0
71,1981,KS,0,0,0,1,0,0,0
72,1981,KY,0,0,0,0,0,0,0
73,1981,LA,0,0,0,1,0,0,0
74,1981,MA,0,0,0,0,0,0,0
75,1981,MD,0,0,0,0,0,0,0
76,1981,ME,0,0,0,0,0,0,0
77,1981,MI,0,0,0,0,0,0,0
78,1981,MN,0,0,0,0,0,0,0
79,1981,MO,0,0,0,0,0,0,0
80,1981,MS,0,0,0,0,0,0,0
81,1981,MT,0,0,0,0,0,0,0
82,1981,NC,0,0,0,0,0,0,0
83,1981,ND,0,0,0,0,0,0,0
84,1981,NE,0,0,0,0,0,0,0
85,1981,NH,0,0,0,0,0,0,0
86,1981,NJ,0,0,0,0,0,0,0
87,1981,NM,0,0,0,0,0,0,0
88,1981,NV,0,0,0,0,0,0,0
89,1981,NY,0,0,0,0,0,0,0
90,1981,OH,0,0,0,0,0,0,0
91,1981,OK,0,0,0,1,0,0,0
92,1981,OR,0,0,0,0,0,0,0
93,1981,PA,0,0,0,0,0,0,0
94,1981,PR,0,0,0,0,0,0,0
95,1981,RI,0,0,0,0,0,0,0
96,1981,SC,0,0,0,0,0,0,0
97,1981,SD,0,0,0,0,0,0,0
